,agency_cd,site_no,Discharge_cfs_Mean,Gage_height_feet_Mean,Dissolved_oxygen_mpl_Maximum,Dissolved_oxygen_mpl_Minimum,Dissolved_oxygen_mpl_Mean
1990-07-30,USGS,02266200,2.40,93.60,,,
1990-07-31,USGS,02266200,1.80,93.56,,,
1990-08-01,USGS,02266200,1.50,93.53,,,
1990-08-02,USGS,02266200,1.30,93.50,,,
1990-08-03,USGS,02266200,0.94,93.47,,,
1990-08-04,USGS,02266200,1.30,93.49,,,
1990-08-05,USGS,02266200,2.10,93.58,,,
1990-08-06,USGS,02266200,1.40,93.52,,,
1990-08-07,USGS,02266200,1.20,93.49,,,
1990-08-08,USGS,02266200,4.60,93.78,,,
1990-08-09,USGS,02266200,5.20,93.82,,,
1990-08-10,USGS,02266200,6.30,93.91,,,
1990-08-11,USGS,02266200,6.90,93.94,,,
1990-08-12,USGS,02266200,6.60,93.93,,,
1990-08-13,USGS,02266200,6.80,93.93,,,
1990-08-14,USGS,02266200,8.20,94.03,,,
1990-08-15,USGS,02266200,8.10,94.02,,,
1990-08-16,USGS,02266200,9.00,94.05,,,
1990-08-17,USGS,02266200,17.0,94.29,,,
1990-08-18,USGS,02266200,17.0,94.30,,,
1990-08-19,USGS,02266200,17.0,94.29,,,
1990-08-20,USGS,02266200,16.0,94.27,,,
1990-08-21,USGS,02266200,14.0,94.24,,,
1990-08-22,USGS,02266200,13.0,94.21,,,
1990-08-23,USGS,02266200,12.0,94.18,,,
1990-08-24,USGS,02266200,12.0,94.19,,,
1990-08-25,USGS,02266200,12.0,94.18,,,
1990-08-26,USGS,02266200,11.0,94.14,,,
1990-08-27,USGS,02266200,9.40,94.09,,,
1990-08-28,USGS,02266200,8.60,94.06,,,
1990-08-29,USGS,02266200,7.80,94.02,,,
1990-08-30,USGS,02266200,7.10,93.97,,,
1990-08-31,USGS,02266200,6.50,93.93,,,
1990-09-01,USGS,02266200,6.20,93.91,,,
1990-09-02,USGS,02266200,5.60,93.87,,,
1990-09-03,USGS,02266200,5.20,93.85,,,
1990-09-04,USGS,02266200,4.80,93.81,,,
1990-09-05,USGS,02266200,4.30,93.77,,,
1990-09-06,USGS,02266200,4.00,93.74,,,
1990-09-07,USGS,02266200,3.60,93.71,,,
1990-09-08,USGS,02266200,3.30,93.67,,,
1990-09-09,USGS,02266200,3.00,93.64,,,
1990-09-10,USGS,02266200,2.60,93.60,,,
1990-09-11,USGS,02266200,3.00,93.64,,,
1990-09-12,USGS,02266200,3.50,93.69,,,
1990-09-13,USGS,02266200,3.10,93.66,,,
1990-09-14,USGS,02266200,2.80,93.63,,,
1990-09-15,USGS,02266200,2.60,93.59,,,
1990-09-16,USGS,02266200,2.40,93.57,,,
1990-09-17,USGS,02266200,2.30,93.56,,,
1990-09-18,USGS,02266200,2.10,93.53,,,
1990-09-19,USGS,02266200,1.90,93.51,,,
1990-09-20,USGS,02266200,1.80,93.48,,,
1990-09-21,USGS,02266200,1.60,93.46,,,
1990-09-22,USGS,02266200,1.50,93.43,,,
1990-09-23,USGS,02266200,1.30,93.41,,,
1990-09-24,USGS,02266200,1.30,93.39,,,
1990-09-25,USGS,02266200,1.10,93.36,,,
1990-09-26,USGS,02266200,0.98,93.33,,,
1990-09-27,USGS,02266200,0.81,93.30,,,
1990-09-28,USGS,02266200,0.96,93.32,,,
1990-09-29,USGS,02266200,2.20,93.50,,,
1990-09-30,USGS,02266200,6.90,93.95,,,
1990-10-01,USGS,02266200,7.60,93.98,,,
1990-10-02,USGS,02266200,7.90,93.99,,,
1990-10-03,USGS,02266200,7.90,93.99,,,
1990-10-04,USGS,02266200,7.90,93.99,,,
1990-10-05,USGS,02266200,7.50,93.97,,,
1990-10-06,USGS,02266200,7.30,93.95,,,
1990-10-07,USGS,02266200,6.60,93.90,,,
1990-10-08,USGS,02266200,6.30,93.89,,,
1990-10-09,USGS,02266200,6.00,93.87,,,
1990-10-10,USGS,02266200,7.00,93.93,,,
1990-10-11,USGS,02266200,7.30,93.95,,,
1990-10-12,USGS,02266200,7.80,93.99,,,
1990-10-13,USGS,02266200,7.30,93.95,,,
1990-10-14,USGS,02266200,6.60,93.90,,,
1990-10-15,USGS,02266200,6.20,93.88,,,
1990-10-16,USGS,02266200,5.90,93.86,,,
1990-10-17,USGS,02266200,5.50,93.83,,,
1990-10-18,USGS,02266200,5.10,93.80,,,
1990-10-19,USGS,02266200,5.20,93.80,,,
1990-10-20,USGS,02266200,5.10,93.80,,,
1990-10-21,USGS,02266200,4.90,93.78,,,
1990-10-22,USGS,02266200,4.60,93.76,,,
1990-10-23,USGS,02266200,4.40,93.74,,,
1990-10-24,USGS,02266200,4.20,93.72,,,
1990-10-25,USGS,02266200,3.90,93.70,,,
1990-10-26,USGS,02266200,3.50,93.66,,,
1990-10-27,USGS,02266200,3.20,93.62,,,
1990-10-28,USGS,02266200,3.10,93.61,,,
1990-10-29,USGS,02266200,2.90,93.59,,,
1990-10-30,USGS,02266200,2.70,93.56,,,
1990-10-31,USGS,02266200,2.40,93.54,,,
1990-11-01,USGS,02266200,2.20,93.51,,,
1990-11-02,USGS,02266200,2.20,93.51,,,
1990-11-03,USGS,02266200,2.00,93.49,,,
1990-11-04,USGS,02266200,1.90,93.48,,,
1990-11-05,USGS,02266200,1.80,93.46,,,
1990-11-06,USGS,02266200,1.60,93.44,,,
1990-11-07,USGS,02266200,1.50,93.42,,,
1990-11-08,USGS,02266200,1.40,93.40,,,
1990-11-09,USGS,02266200,1.50,93.42,,,
1990-11-10,USGS,02266200,1.70,93.46,,,
1990-11-11,USGS,02266200,1.50,93.43,,,
1990-11-12,USGS,02266200,1.40,93.41,,,
1990-11-13,USGS,02266200,1.20,93.40,,,
1990-11-14,USGS,02266200,1.20,93.39,,,
1990-11-15,USGS,02266200,1.10,93.38,,,
1990-11-16,USGS,02266200,1.00,93.36,,,
1990-11-17,USGS,02266200,0.98,93.35,,,
1990-11-18,USGS,02266200,0.86,93.34,,,
1990-11-19,USGS,02266200,0.77,93.32,,,
1990-11-20,USGS,02266200,0.69,93.30,,,
1990-11-21,USGS,02266200,0.60,93.29,,,
1990-11-22,USGS,02266200,0.56,93.28,,,
1990-11-23,USGS,02266200,0.50,93.27,,,
1990-11-24,USGS,02266200,0.62,93.31,,,
1990-11-25,USGS,02266200,0.59,93.30,,,
1990-11-26,USGS,02266200,0.47,93.28,,,
1990-11-27,USGS,02266200,0.51,93.29,,,
1990-11-28,USGS,02266200,0.53,93.30,,,
1990-11-29,USGS,02266200,0.52,93.30,,,
1990-11-30,USGS,02266200,0.60,93.32,,,
1990-12-01,USGS,02266200,0.54,93.31,,,
1990-12-02,USGS,02266200,0.49,93.30,,,
1990-12-03,USGS,02266200,0.41,93.29,,,
1990-12-04,USGS,02266200,0.36,93.28,,,
1990-12-05,USGS,02266200,0.32,93.28,,,
1990-12-06,USGS,02266200,0.28,93.27,,,
1990-12-07,USGS,02266200,0.28,93.27,,,
1990-12-08,USGS,02266200,0.29,93.28,,,
1990-12-09,USGS,02266200,0.27,93.28,,,
1990-12-10,USGS,02266200,0.23,93.26,,,
1990-12-11,USGS,02266200,0.19,93.26,,,
1990-12-12,USGS,02266200,0.17,93.25,,,
1990-12-13,USGS,02266200,0.12,93.24,,,
1990-12-14,USGS,02266200,0.12,93.24,,,
1990-12-15,USGS,02266200,0.18,93.26,,,
1990-12-16,USGS,02266200,0.16,93.25,,,
1990-12-17,USGS,02266200,0.11,93.24,,,
1990-12-18,USGS,02266200,0.09,93.23,,,
1990-12-19,USGS,02266200,0.07,93.22,,,
1990-12-20,USGS,02266200,0.05,93.22,,,
1990-12-21,USGS,02266200,0.03,93.21,,,
1990-12-22,USGS,02266200,0.02,93.21,,,
1990-12-23,USGS,02266200,0.00,93.20,,,
1990-12-24,USGS,02266200,0.00,93.19,,,
1990-12-25,USGS,02266200,0.00,93.18,,,
1990-12-26,USGS,02266200,0.00,93.17,,,
1990-12-27,USGS,02266200,0.00,93.16,,,
1990-12-28,USGS,02266200,0.00,93.15,,,
1990-12-29,USGS,02266200,0.00,93.15,,,
1990-12-30,USGS,02266200,0.00,93.15,,,
1990-12-31,USGS,02266200,0.00,93.14,,,
1991-01-01,USGS,02266200,0.00,93.13,,,
1991-01-02,USGS,02266200,0.00,93.13,,,
1991-01-03,USGS,02266200,0.00,93.12,,,
1991-01-04,USGS,02266200,0.00,93.11,,,
1991-01-05,USGS,02266200,0.00,93.08,,,
1991-01-06,USGS,02266200,0.00,93.07,,,
1991-01-07,USGS,02266200,0.00,93.01,,,
1991-01-08,USGS,02266200,0.00,92.94,,,
1991-01-09,USGS,02266200,0.00,92.82,,,
1991-01-10,USGS,02266200,0.00,92.67,,,
1991-01-11,USGS,02266200,0.00,92.91,,,
1991-01-12,USGS,02266200,0.00,93.04,,,
1991-01-13,USGS,02266200,0.00,93.01,,,
1991-01-14,USGS,02266200,0.00,92.96,,,
1991-01-15,USGS,02266200,0.16,93.08,,,
1991-01-16,USGS,02266200,0.72,93.42,,,
1991-01-17,USGS,02266200,1.10,93.49,,,
1991-01-18,USGS,02266200,1.10,93.51,,,
1991-01-19,USGS,02266200,1.20,93.53,,,
1991-01-20,USGS,02266200,1.30,93.54,,,
1991-01-21,USGS,02266200,1.30,93.54,,,
1991-01-22,USGS,02266200,1.20,93.52,,,
1991-01-23,USGS,02266200,1.20,93.51,,,
1991-01-24,USGS,02266200,1.20,93.51,,,
1991-01-25,USGS,02266200,1.30,93.54,,,
1991-01-26,USGS,02266200,1.30,93.54,,,
1991-01-27,USGS,02266200,1.30,93.54,,,
1991-01-28,USGS,02266200,1.30,93.54,,,
1991-01-29,USGS,02266200,1.30,93.55,,,
1991-01-30,USGS,02266200,1.30,93.54,,,
1991-01-31,USGS,02266200,1.50,93.58,,,
1991-02-01,USGS,02266200,1.90,93.64,,,
1991-02-02,USGS,02266200,1.90,93.65,,,
1991-02-03,USGS,02266200,2.00,93.65,,,
1991-02-04,USGS,02266200,1.90,93.64,,,
1991-02-05,USGS,02266200,1.80,93.63,,,
1991-02-06,USGS,02266200,1.70,93.61,,,
1991-02-07,USGS,02266200,1.60,93.59,,,
1991-02-08,USGS,02266200,1.50,93.58,,,
1991-02-09,USGS,02266200,1.40,93.56,,,
1991-02-10,USGS,02266200,1.30,93.54,,,
1991-02-11,USGS,02266200,1.10,93.52,,,
1991-02-12,USGS,02266200,1.10,93.50,,,
1991-02-13,USGS,02266200,0.98,93.48,,,
1991-02-14,USGS,02266200,1.00,93.49,,,
1991-02-15,USGS,02266200,1.10,93.50,,,
1991-02-16,USGS,02266200,0.98,93.48,,,
1991-02-17,USGS,02266200,0.88,93.46,,,
1991-02-18,USGS,02266200,0.80,93.45,,,
1991-02-19,USGS,02266200,0.75,93.44,,,
1991-02-20,USGS,02266200,0.70,93.43,,,
1991-02-21,USGS,02266200,0.65,93.41,,,
1991-02-22,USGS,02266200,0.62,93.41,,,
1991-02-23,USGS,02266200,0.58,93.40,,,
1991-02-24,USGS,02266200,0.54,93.39,,,
1991-02-25,USGS,02266200,0.46,93.37,,,
1991-02-26,USGS,02266200,0.39,93.35,,,
1991-02-27,USGS,02266200,0.33,93.34,,,
1991-02-28,USGS,02266200,0.30,93.33,,,
1991-03-01,USGS,02266200,0.34,93.34,,,
1991-03-02,USGS,02266200,0.34,93.34,,,
1991-03-03,USGS,02266200,0.43,93.36,,,
1991-03-04,USGS,02266200,0.42,93.36,,,
1991-03-05,USGS,02266200,0.34,93.34,,,
1991-03-06,USGS,02266200,0.28,93.32,,,
1991-03-07,USGS,02266200,0.23,93.30,,,
1991-03-08,USGS,02266200,0.19,93.29,,,
1991-03-09,USGS,02266200,0.52,93.38,,,
1991-03-10,USGS,02266200,0.62,93.41,,,
1991-03-11,USGS,02266200,0.55,93.39,,,
1991-03-12,USGS,02266200,0.47,93.37,,,
1991-03-13,USGS,02266200,0.44,93.36,,,
1991-03-14,USGS,02266200,0.43,93.36,,,
1991-03-15,USGS,02266200,0.41,93.36,,,
1991-03-16,USGS,02266200,0.56,93.38,,,
1991-03-17,USGS,02266200,1.20,93.50,,,
1991-03-18,USGS,02266200,4.00,93.82,,,
1991-03-19,USGS,02266200,6.40,94.02,,,
1991-03-20,USGS,02266200,6.70,94.03,,,
1991-03-21,USGS,02266200,6.50,94.02,,,
1991-03-22,USGS,02266200,6.20,94.00,,,
1991-03-23,USGS,02266200,6.00,93.98,,,
1991-03-24,USGS,02266200,5.80,93.97,,,
1991-03-25,USGS,02266200,5.40,93.94,,,
1991-03-26,USGS,02266200,5.00,93.91,,,
1991-03-27,USGS,02266200,4.70,93.89,,,
1991-03-28,USGS,02266200,4.40,93.86,,,
1991-03-29,USGS,02266200,4.10,93.83,,,
1991-03-30,USGS,02266200,4.10,93.84,,,
1991-03-31,USGS,02266200,4.80,93.90,,,
1991-04-01,USGS,02266200,5.20,93.92,,,
1991-04-02,USGS,02266200,5.00,93.91,,,
1991-04-03,USGS,02266200,4.70,93.89,,,
1991-04-04,USGS,02266200,4.50,93.87,,,
1991-04-05,USGS,02266200,4.30,93.85,,,
1991-04-06,USGS,02266200,4.10,93.83,,,
1991-04-07,USGS,02266200,3.80,93.81,,,
1991-04-08,USGS,02266200,3.50,93.78,,,
1991-04-09,USGS,02266200,3.30,93.75,,,
1991-04-10,USGS,02266200,3.10,93.73,,,
1991-04-11,USGS,02266200,2.80,93.70,,,
1991-04-12,USGS,02266200,2.60,93.67,,,
1991-04-13,USGS,02266200,2.30,93.64,,,
1991-04-14,USGS,02266200,2.10,93.60,,,
1991-04-15,USGS,02266200,1.90,93.58,,,
1991-04-16,USGS,02266200,1.70,93.55,,,
1991-04-17,USGS,02266200,2.10,93.60,,,
1991-04-18,USGS,02266200,2.70,93.69,,,
1991-04-19,USGS,02266200,2.70,93.69,,,
1991-04-20,USGS,02266200,3.00,93.71,,,
1991-04-21,USGS,02266200,2.70,93.68,,,
1991-04-22,USGS,02266200,2.40,93.65,,,
1991-04-23,USGS,02266200,4.10,93.78,,,
1991-04-24,USGS,02266200,7.90,94.05,,,
1991-04-25,USGS,02266200,11.0,94.12,,,
1991-04-26,USGS,02266200,16.0,94.24,,,
1991-04-27,USGS,02266200,17.0,94.26,,,
1991-04-28,USGS,02266200,17.0,94.26,,,
1991-04-29,USGS,02266200,16.0,94.24,,,
1991-04-30,USGS,02266200,15.0,94.22,,,
1991-05-01,USGS,02266200,14.0,94.18,,,
1991-05-02,USGS,02266200,12.0,94.15,,,
1991-05-03,USGS,02266200,11.0,94.10,,,
1991-05-04,USGS,02266200,9.80,94.07,,,
1991-05-05,USGS,02266200,8.90,94.02,,,
1991-05-06,USGS,02266200,8.60,94.00,,,
1991-05-07,USGS,02266200,9.50,94.05,,,
1991-05-08,USGS,02266200,8.70,94.01,,,
1991-05-09,USGS,02266200,7.90,93.97,,,
1991-05-10,USGS,02266200,7.40,93.94,,,
1991-05-11,USGS,02266200,6.90,93.90,,,
1991-05-12,USGS,02266200,6.40,93.87,,,
1991-05-13,USGS,02266200,7.20,93.91,,,
1991-05-14,USGS,02266200,9.70,94.06,,,
1991-05-15,USGS,02266200,9.70,94.06,,,
1991-05-16,USGS,02266200,9.50,94.05,,,
1991-05-17,USGS,02266200,9.40,94.04,,,
1991-05-18,USGS,02266200,9.10,94.03,,,
1991-05-19,USGS,02266200,9.10,94.03,,,
1991-05-20,USGS,02266200,8.80,94.02,,,
1991-05-21,USGS,02266200,8.80,94.02,,,
1991-05-22,USGS,02266200,8.40,94.00,,,
1991-05-23,USGS,02266200,13.0,94.14,,,
1991-05-24,USGS,02266200,17.0,94.25,,,
1991-05-25,USGS,02266200,18.0,94.29,,,
1991-05-26,USGS,02266200,18.0,94.29,,,
1991-05-27,USGS,02266200,19.0,94.31,,,
1991-05-28,USGS,02266200,19.0,94.31,,,
1991-05-29,USGS,02266200,17.0,94.28,,,
1991-05-30,USGS,02266200,19.0,94.30,,,
1991-05-31,USGS,02266200,29.0,94.47,,,
1991-06-01,USGS,02266200,29.0,94.47,,,
1991-06-02,USGS,02266200,27.0,94.45,,,
1991-06-03,USGS,02266200,24.0,94.41,,,
1991-06-04,USGS,02266200,22.0,94.37,,,
1991-06-05,USGS,02266200,21.0,94.36,,,
1991-06-06,USGS,02266200,30.0,94.49,,,
1991-06-07,USGS,02266200,35.0,94.56,,,
1991-06-08,USGS,02266200,35.0,94.56,,,
1991-06-09,USGS,02266200,34.0,94.55,,,
1991-06-10,USGS,02266200,31.0,94.52,,,
1991-06-11,USGS,02266200,29.0,94.48,,,
1991-06-12,USGS,02266200,26.0,94.45,,,
1991-06-13,USGS,02266200,23.0,94.40,,,
1991-06-14,USGS,02266200,21.0,94.36,,,
1991-06-15,USGS,02266200,19.0,94.33,,,
1991-06-16,USGS,02266200,17.0,94.30,,,
1991-06-17,USGS,02266200,15.0,94.26,,,
1991-06-18,USGS,02266200,14.0,94.24,,,
1991-06-19,USGS,02266200,14.0,94.22,,,
1991-06-20,USGS,02266200,14.0,94.24,,,
1991-06-21,USGS,02266200,14.0,94.22,,,
1991-06-22,USGS,02266200,14.0,94.22,,,
1991-06-23,USGS,02266200,13.0,94.20,,,
1991-06-24,USGS,02266200,12.0,94.19,,,
1991-06-25,USGS,02266200,11.0,94.14,,,
1991-06-26,USGS,02266200,10.0,94.11,,,
1991-06-27,USGS,02266200,11.0,94.11,,,
1991-06-28,USGS,02266200,14.0,94.21,,,
1991-06-29,USGS,02266200,13.0,94.19,,,
1991-06-30,USGS,02266200,15.0,94.25,,,
1991-07-01,USGS,02266200,22.0,94.38,,,
1991-07-02,USGS,02266200,26.0,94.44,,,
1991-07-03,USGS,02266200,27.0,94.45,,,
1991-07-04,USGS,02266200,28.0,94.45,,,
1991-07-05,USGS,02266200,27.0,94.45,,,
1991-07-06,USGS,02266200,25.0,94.42,,,
1991-07-07,USGS,02266200,25.0,94.42,,,
1991-07-08,USGS,02266200,25.0,94.41,,,
1991-07-09,USGS,02266200,24.0,94.40,,,
1991-07-10,USGS,02266200,23.0,94.38,,,
1991-07-11,USGS,02266200,23.0,94.37,,,
1991-07-12,USGS,02266200,25.0,94.40,,,
1991-07-13,USGS,02266200,34.0,94.52,,,
1991-07-14,USGS,02266200,40.0,94.58,,,
1991-07-15,USGS,02266200,45.0,94.62,,,
1991-07-16,USGS,02266200,48.0,94.65,,,
1991-07-17,USGS,02266200,45.0,94.63,,,
1991-07-18,USGS,02266200,43.0,94.61,,,
1991-07-19,USGS,02266200,40.0,94.58,,,
1991-07-20,USGS,02266200,39.0,94.57,,,
1991-07-21,USGS,02266200,42.0,94.60,,,
1991-07-22,USGS,02266200,38.0,94.56,,,
1991-07-23,USGS,02266200,35.0,94.53,,,
1991-07-24,USGS,02266200,32.0,94.50,,,
1991-07-25,USGS,02266200,30.0,94.46,,,
1991-07-26,USGS,02266200,27.0,94.43,,,
1991-07-27,USGS,02266200,26.0,94.41,,,
1991-07-28,USGS,02266200,27.0,94.43,,,
1991-07-29,USGS,02266200,27.0,94.42,,,
1991-07-30,USGS,02266200,29.0,94.46,,,
1991-07-31,USGS,02266200,33.0,94.51,,,
1991-08-01,USGS,02266200,34.0,94.52,,,
1991-08-02,USGS,02266200,33.0,94.51,,,
1991-08-03,USGS,02266200,31.0,94.48,,,
1991-08-04,USGS,02266200,29.0,94.46,,,
1991-08-05,USGS,02266200,27.0,94.43,,,
1991-08-06,USGS,02266200,25.0,94.41,,,
1991-08-07,USGS,02266200,23.0,94.38,,,
1991-08-08,USGS,02266200,22.0,,,,
1991-08-09,USGS,02266200,21.0,,,,
1991-08-10,USGS,02266200,20.0,,,,
1991-08-11,USGS,02266200,18.0,,,,
1991-08-12,USGS,02266200,17.0,,,,
1991-08-13,USGS,02266200,15.0,,,,
1991-08-14,USGS,02266200,14.0,,,,
1991-08-15,USGS,02266200,13.0,,,,
1991-08-16,USGS,02266200,12.0,,,,
1991-08-17,USGS,02266200,11.0,,,,
1991-08-18,USGS,02266200,10.0,,,,
1991-08-19,USGS,02266200,9.60,,,,
1991-08-20,USGS,02266200,11.0,,,,
1991-08-21,USGS,02266200,13.0,,,,
1991-08-22,USGS,02266200,16.0,,,,
1991-08-23,USGS,02266200,21.0,,,,
1991-08-24,USGS,02266200,31.0,,,,
1991-08-25,USGS,02266200,30.0,,,,
1991-08-26,USGS,02266200,25.0,,,,
1991-08-27,USGS,02266200,21.0,,,,
